yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,HBP,SF,BA,OBP,SLG,OPS,RA,ER,ERA,ERA+,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2001,NL,FLO,FLA,E,4,162,80,76,86,N,N,N,N,742,5542,1461,940,325,30,166,470,1145,89,40,67,45,0.263623241,0.326257348,0.422952003,0.749209351,744,691,4.32,99.07980405,5,11,32,4314,1397,151,617,1119,103,174,0.983,Florida Marlins,Pro Player Stadium,1261226,97,97,FLA,FLO,FLO
2001,NL,HOU,HOU,C,1,162,81,93,69,Y,N,N,N,847,5528,1500,950,313,29,208,581,1119,64,49,89,56,0.271345876,0.346977934,0.45133864,0.798316574,769,707,4.37,106.5796168,7,6,48,4364,1453,221,486,1228,110,138,0.982,Houston Astros,Enron Field,2904277,107,106,HOU,HOU,HOU
2001,AL,KCA,KCR,C,5,162,81,65,97,N,N,N,N,729,5643,1503,1037,277,37,152,406,898,100,42,44,47,0.266347687,0.318078176,0.409356725,0.727434901,858,779,4.87,97.81873421,5,1,30,4320,1537,209,576,911,117,204,0.981,Kansas City Royals,Kauffman Stadium,1536371,107,108,KCR,KCA,KCA
2001,NL,LAN,LAD,W,3,162,81,86,76,N,N,N,N,758,5493,1399,902,264,27,206,519,1062,89,42,56,44,0.254687784,0.322971204,0.425086474,0.748057678,744,685,4.25,94.16882687,3,5,46,4352,1387,184,524,1212,116,138,0.981,Los Angeles Dodgers,Dodger Stadium,3017143,92,91,LAD,LAN,LAN
2001,NL,MIL,MIL,C,4,162,81,68,94,N,N,N,N,740,5488,1378,866,273,30,209,488,1399,66,36,72,35,0.251093294,0.3185928,0.426020408,0.744613208,806,740,4.64,93.79404743,3,8,28,4309,1452,197,667,1057,103,156,0.983,Milwaukee Brewers,Miller Park,2811041,98,99,MIL,ML4,MIL
2001,AL,MIN,MIN,C,2,162,81,85,77,N,N,N,N,771,5560,1514,984,328,38,164,495,1083,146,67,64,38,0.272302158,0.336689946,0.433453237,0.770143184,766,722,4.51,99.80583214,12,8,45,4324,1494,192,445,965,108,118,0.982,Minnesota Twins,Hubert H Humphrey Metrodome,1782929,102,102,MIN,MIN,MIN
2001,NL,MON,WSN,E,5,162,81,68,94,N,N,N,N,670,5379,1361,882,320,28,131,478,1071,101,51,60,45,0.253021008,0.318517276,0.395984384,0.71450166,812,745,4.68,96.02911185,5,11,28,4294,1509,190,525,1103,108,139,0.982,Montreal Expos,Stade Olympique,642745,101,102,MON,MON,MON
2001,AL,NYA,NYY,E,1,161,80,95,65,Y,N,Y,N,804,5577,1488,976,289,20,203,519,1035,161,53,64,43,0.266810113,0.333870708,0.435000897,0.768871604,713,649,4.02,108.9055065,7,9,57,4354,1429,158,465,1266,109,132,0.982,New York Yankees,Yankee Stadium II,3264907,102,100,NYY,NYA,NYA
2001,NL,NYN,NYM,E,3,162,81,82,80,N,N,N,N,642,5459,1361,923,273,18,147,545,1062,66,48,65,35,0.249313061,0.322903014,0.386700861,0.709603875,713,654,4.07,103.9296775,6,14,48,4337,1418,186,438,1191,101,132,0.983,New York Mets,Shea Stadium,2658330,96,96,NYM,NYN,NYN
2001,AL,OAK,OAK,W,2,162,81,102,60,N,Y,N,N,884,5573,1469,914,334,22,199,640,1021,68,29,88,59,0.26359232,0.345440252,0.438542975,0.783983227,645,583,3.59,116.1334483,13,9,44,4390,1384,153,440,1117,125,151,0.98,Oakland Athletics,Oakland Coliseum,2133277,99,97,OAK,OAK,OAK
2001,NL,PHI,PHI,E,2,162,81,86,76,N,N,N,N,746,5497,1431,943,295,29,164,551,1125,153,47,43,61,0.260323813,0.329161248,0.414044024,0.743205272,719,667,4.15,104.0404741,8,7,47,4336,1417,170,527,1086,91,145,0.985,Philadelphia Phillies,Veterans Stadium,1782054,98,98,PHI,PHI,PHI
2001,NL,PIT,PIT,C,6,162,81,62,100,N,N,N,N,657,5398,1333,891,256,25,161,467,1106,93,73,67,35,0.246943312,0.312887548,0.393108559,0.705996107,858,794,5.05,91.01464288,8,9,36,4249,1493,167,549,908,133,168,0.978,Pittsburgh Pirates,PNC Park,2464870,103,105,PIT,PIT,PIT
2001,NL,SDN,SDP,W,4,162,81,79,83,N,N,N,N,789,5482,1379,919,273,26,161,678,1273,129,44,41,48,0.251550529,0.335733717,0.398941992,0.734675709,812,724,4.52,88.66885388,5,6,46,4322,1519,219,476,1088,145,127,0.976,San Diego Padres,Qualcomm Stadium,2378128,91,92,SDP,SDN,SDN
2001,AL,SEA,SEA,W,1,162,81,116,46,Y,N,N,N,927,5680,1637,1120,310,38,169,614,989,174,42,62,70,0.288204225,0.359943978,0.445422535,0.805366513,627,576,3.54,113.7445816,8,14,56,4395,1293,160,465,1051,83,137,0.986,Seattle Mariners,Safeco Field,3507326,94,93,SEA,SEA,SEA
2001,NL,SFN,SFG,W,2,162,81,90,72,N,N,N,N,799,5612,1493,914,304,40,235,625,1090,57,42,50,54,0.266037063,0.341901908,0.460085531,0.801987439,748,680,4.18,97.04332062,3,8,47,4390,1437,145,579,1080,118,170,0.981,San Francisco Giants,PacBell Park,3311958,93,92,SFG,SFN,SFN
2001,NL,SLN,STL,C,2,162,82,93,69,N,Y,N,N,814,5450,1469,964,274,32,199,529,1089,91,35,65,50,0.269541284,0.338529701,0.441100917,0.779630619,684,627,3.93,110.0453893,8,11,38,4306,1389,196,526,1083,110,156,0.982,St. Louis Cardinals,Busch Stadium II,3109578,100,99,STL,SLN,SLN
2001,AL,TBA,TBD,E,5,162,81,62,100,N,N,N,N,672,5524,1426,973,311,21,121,456,1116,115,52,54,25,0.258146271,0.319524674,0.387762491,0.707287165,887,781,4.94,88.05801042,1,6,30,4271,1513,207,569,1030,139,144,0.977,Tampa Bay Devil Rays,Tropicana Field,1298365,98,100,TBD,TBA,TBA
2001,AL,TEX,TEX,W,4,162,82,73,89,N,N,N,N,890,5685,1566,971,326,23,246,548,1093,97,32,75,55,0.275461741,0.344020116,0.470712401,0.814732517,968,913,5.71,76.77101205,4,3,37,4315,1670,222,596,951,114,167,0.981,Texas Rangers,The Ballpark at Arlington,2831021,104,105,TEX,TEX,TEX
2001,AL,TOR,TOR,E,3,162,82,80,82,N,N,N,N,767,5663,1489,971,287,36,195,470,1094,156,55,74,43,0.26293484,0.32528,0.429630938,0.754910938,753,696,4.28,105.8386629,7,10,41,4388,1553,165,490,1041,97,184,0.985,Toronto Blue Jays,Skydome,1915438,102,103,TOR,TOR,TOR
2002,AL,ANA,ANA,W,2,162,81,99,63,N,Y,Y,Y,851,5678,1603,1086,333,32,152,462,805,117,51,74,64,0.282317718,0.340713603,0.432546671,0.773260274,644,595,3.69,112.7511066,7,14,54,4357,1345,169,509,999,87,151,0.986,Anaheim Angels,Edison International Field,2305547,100,99,ANA,ANA,ANA
2002,NL,ARI,ARI,W,1,162,81,98,64,Y,N,N,N,819,5508,1471,982,283,41,165,643,1016,92,46,50,53,0.267066086,0.346018548,0.423202614,0.769221163,674,630,3.92,117.3330634,14,10,40,4340,1361,170,421,1303,89,116,0.985,Arizona Diamondbacks,Bank One Ballpark,3198977,111,111,ARI,ARI,ARI
2002,NL,ATL,ATL,E,1,161,81,101,59,Y,N,N,N,708,5495,1428,959,280,25,164,558,1028,76,39,54,49,0.259872611,0.331384016,0.409463148,0.740847164,565,511,3.13,127.4576334,3,15,57,4402,1302,123,554,1058,114,170,0.982,Atlanta Braves,Turner Field,2603484,102,101,ATL,ATL,ATL
2002,AL,BAL,BAL,E,4,162,81,67,95,N,N,N,N,667,5491,1353,850,311,27,165,452,993,110,48,64,49,0.246403205,0.308619551,0.403023129,0.71164268,773,719,4.46,91.24921973,8,3,31,4352,1491,208,549,967,91,173,0.985,Baltimore Orioles,Oriole Park at Camden Yards,2682439,95,96,BAL,BAL,BAL
2002,AL,BOS,BOS,E,2,162,81,93,69,N,N,N,N,859,5640,1560,1002,348,33,177,545,944,80,28,72,53,0.276595745,0.345007924,0.444148936,0.78915686,665,603,3.75,113.9402952,5,17,51,4338,1339,146,430,1157,104,140,0.983,Boston Red Sox,Fenway Park II,2650862,103,102,BOS,BOS,BOS
2002,AL,CHA,CHW,C,2,162,81,81,81,N,N,N,N,856,5502,1475,940,289,29,217,555,952,75,31,49,53,0.268084333,0.337554798,0.449472919,0.787027717,798,716,4.53,95.01056847,7,7,35,4269,1422,190,528,945,97,157,0.984,Chicago White Sox,Comiskey Park II,1676911,102,101,CHW,CHA,CHA
2002,NL,CHN,CHC,C,5,162,78,67,95,N,N,N,N,706,5496,1351,863,259,29,200,585,1269,63,21,44,39,0.245815138,0.321219987,0.412663755,0.733883742,759,687,4.29,97.52923641,11,9,23,4324,1373,167,606,1333,114,144,0.981,Chicago Cubs,Wrigley Field,2693096,98,98,CHC,CHN,CHN
2002,NL,CIN,CIN,C,3,162,80,78,84,N,N,N,N,709,5470,1386,899,297,21,169,583,1188,116,52,66,40,0.253382084,0.330410781,0.408043876,0.738454657,774,690,4.27,104.8064919,2,8,42,4361,1502,173,550,980,120,169,0.981,Cincinnati Reds,Cinergy Field,1855787,104,105,CIN,CIN,CIN
2002,AL,CLE,CLE,C,3,162,81,74,88,N,N,N,N,739,5423,1349,876,255,26,192,542,1000,52,37,56,39,0.248755301,0.321287129,0.411580306,0.732867435,837,777,4.91,82.71994191,9,4,34,4274,1508,142,603,1058,113,161,0.981,Cleveland Indians,Jacobs Field,2616940,97,98,CLE,CLE,CLE
2002,NL,COL,COL,W,4,162,81,73,89,N,N,N,N,778,5512,1508,1032,283,41,152,497,1043,103,53,56,50,0.273584906,0.337040065,0.422532656,0.759572721,898,825,5.2,95.06651169,1,8,43,4280,1554,225,582,920,112,158,0.982,Colorado Rockies,Coors Field,2737838,116,116,COL,COL,COL
2002,AL,DET,DET,C,5,161,80,55,106,N,N,N,N,575,5406,1340,914,265,37,124,363,1035,65,44,64,57,0.247872734,0.3,0.379393267,0.679393267,864,773,4.92,78.7699586,11,7,33,4242,1593,163,463,794,142,148,0.977,Detroit Tigers,Comerica Park,1503623,92,95,DET,DET,DET
2002,NL,FLO,FLA,E,4,162,81,79,83,N,N,N,N,699,5496,1433,975,280,32,146,595,1130,177,73,61,49,0.26073508,0.336881148,0.403020378,0.739901527,763,706,4.36,95.85721929,11,12,36,4369,1449,151,631,1104,106,163,0.983,Florida Marlins,Pro Player Stadium,813118,97,98,FLA,FLO,FLO
2002,NL,HOU,HOU,C,2,162,81,84,78,N,N,N,N,749,5503,1441,951,291,32,167,589,1120,71,27,59,37,0.261857169,0.337588882,0.417408686,0.754997568,695,642,4,110.8257535,2,11,43,4335,1423,151,546,1219,83,149,0.986,Houston Astros,Minute Maid Park,2517357,106,105,HOU,HOU,HOU
2002,AL,KCA,KCR,C,4,162,77,62,100,N,N,N,N,737,5535,1415,948,285,42,140,524,921,140,65,52,51,0.25564589,0.32310938,0.398193315,0.721302695,891,834,5.21,90.12889294,12,6,30,4323,1587,212,572,909,130,153,0.979,Kansas City Royals,Kauffman Stadium,1323036,110,111,KCR,KCA,KCA
2002,NL,LAN,LAD,W,3,162,81,92,70,N,N,N,N,713,5554,1464,994,286,29,155,428,940,96,37,53,44,0.263593806,0.31995394,0.409254591,0.729208531,643,598,3.69,106.1126038,4,15,56,4373,1311,165,555,1132,90,134,0.985,Los Angeles Dodgers,Dodger Stadium,3131255,92,92,LAD,LAN,LAN
2002,NL,MIL,MIL,C,6,162,81,56,106,N,N,N,N,627,5415,1369,932,269,29,139,500,1125,94,50,55,34,0.252816251,0.320453031,0.390212373,0.710665404,821,752,4.73,88.16063254,7,4,32,4297,1468,199,666,1026,103,154,0.983,Milwaukee Brewers,Miller Park,1969153,98,99,MIL,ML4,MIL
2002,AL,MIN,MIN,C,1,161,81,94,67,Y,N,N,N,768,5582,1518,967,348,36,167,472,1089,79,62,56,52,0.271945539,0.332035054,0.436940165,0.768975218,712,662,4.12,103.5580524,8,9,47,4334,1454,184,439,1026,74,124,0.987,Minnesota Twins,Hubert H Humphrey Metrodome,1924473,100,100,MIN,MIN,MIN
2002,NL,MON,WSN,E,2,162,81,83,79,N,N,N,N,735,5479,1432,934,300,36,162,575,1104,118,64,46,42,0.261361562,0.334255943,0.417959482,0.752215424,718,641,3.97,109.7760081,9,3,39,4359,1475,165,508,1088,139,160,0.978,Montreal Expos,Stade Olympique,812045,103,103,MON,MON,MON
2002,AL,NYA,NYY,E,1,161,80,103,58,Y,N,N,N,897,5601,1540,991,314,12,223,640,1171,100,38,72,41,0.274950902,0.354422411,0.454740225,0.809162636,697,625,3.87,108.495063,9,11,53,4356,1441,144,403,1135,127,117,0.979,New York Yankees,Yankee Stadium II,3465807,100,99,NYY,NYA,NYA
